0,21
1,83
2,178
3,269
4,411
5,560
6,801
7,1130
8,1530
9,2097
10,2890
11,3692
12,4740
13,5909
14,6810
15,7432
16,7791
17,7801
18,7356
19,6833
20,5935
21,4992
22,4234
23,3425
24,2700
25,2119
26,1644
27,1223
28,1029
29,801
30,595
31,474
32,378
33,287
34,264
35,202
36,185
37,142
38,126
39,108
40,104
41,104
42,75
43,73
44,62
45,44
46,44
47,44
48,30
49,31
50,23
51,15
52,27
53,19
54,19
55,11
56,12
57,12
58,9
59,8
60,6
61,5
62,4
63,1
64,2
65,3
66,1
67,1
68,3
69,1
70,2
71,2
72,2
73,1
74,1
75,1
76,0
77,1
