(0, 18)
(1, 88)
(2, 327)
(3, 826)
(4, 1211)
(5, 1412)
(6, 1692)
(7, 1848)
(8, 1913)
(9, 1915)
(10, 1776)
(11, 1502)
(12, 1276)
(13, 1009)
(14, 771)
(15, 571)
(16, 458)
(17, 355)
(18, 233)
(19, 167)
(20, 135)
(21, 95)
(22, 67)
(23, 56)
(24, 59)
(25, 40)
(26, 26)
(27, 30)
(28, 20)
(29, 28)
(30, 15)
(31, 8)
(32, 10)
(33, 6)
(34, 15)
(35, 6)
(36, 5)
(37, 3)
(39, 4)
(42, 1)
(45, 1)
(49, 1)
(55, 1)
